Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Moisture Percentage,Total Cup Points,Grade
7.75,7.75,7.5,7.75,7.5,7.42,10.0,10.0,10.0,9.7,83.17,B
7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,11.8,83.17,B
7.67,7.75,7.33,7.67,7.58,7.5,10.0,10.0,10.0,11.8,83.08,B
7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,10.6,83.08,B
7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,9.6,83.08,B
8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,13.1,83.0,B
7.5,7.67,7.58,7.58,7.5,7.5,10.0,10.0,10.0,8.9,82.92,B
7.75,7.5,7.42,7.67,7.58,7.5,10.0,10.0,10.0,11.9,82.92,B
7.58,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,11.5,82.92,B
7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,10.2,82.92,B
7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,10.0,82.83,B
7.17,7.92,7.58,7.5,7.58,7.67,10.0,10.0,10.0,11.8,82.83,B
7.58,7.42,7.58,7.5,7.67,7.75,10.0,10.0,10.0,13.3,82.83,B
7.33,7.58,7.25,7.33,7.75,8.17,10.0,10.0,10.0,10.5,82.75,B
7.33,7.5,7.25,7.92,7.75,7.58,10.0,10.0,10.0,11.8,82.75,B
7.58,7.67,7.58,7.5,7.33,7.5,10.0,10.0,10.0,11.8,82.67,B
7.33,7.58,7.58,7.5,7.67,7.67,10.0,10.0,10.0,13.0,82.67,B
7.5,7.58,7.5,7.42,7.5,7.58,10.0,10.0,10.0,11.2,82.67,B
7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,9.6,82.67,B
7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,9.8,82.58,B
7.67,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,8.4,82.58,B
7.5,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,10.1,82.58,B
7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,11.3,82.5,B
7.75,7.67,7.17,7.67,7.42,7.42,10.0,10.0,10.0,10.0,82.5,B
7.5,7.58,7.5,7.5,7.67,7.42,10.0,10.0,10.0,11.8,82.5,B
7.33,7.58,7.5,7.5,7.5,7.58,10.0,10.0,10.0,11.7,82.5,B
7.67,7.42,7.5,7.5,7.67,7.42,10.0,10.0,10.0,10.7,82.5,B
7.58,7.58,7.33,7.5,7.58,7.42,10.0,10.0,10.0,10.6,82.5,B
7.42,7.42,7.58,7.42,7.58,7.5,10.0,10.0,10.0,8.4,82.5,B
7.58,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,11.4,82.42,B
7.5,7.5,7.33,7.5,7.5,7.42,10.0,10.0,10.0,10.5,82.33,B
7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,12.0,82.33,B
7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,11.8,82.33,B
7.67,7.58,7.42,7.5,7.33,7.42,10.0,10.0,10.0,10.8,82.33,B
7.67,7.5,7.33,7.58,7.33,7.42,10.0,10.0,10.0,11.7,82.25,B
7.75,7.42,7.33,7.5,7.33,7.5,10.0,10.0,10.0,10.6,82.17,B
7.5,7.5,7.42,7.5,7.25,7.5,10.0,10.0,10.0,11.2,82.17,B
7.67,7.5,7.25,7.5,7.5,7.33,10.0,10.0,10.0,10.6,82.17,B
7.5,7.67,7.33,7.5,7.25,7.33,10.0,10.0,10.0,9.7,82.08,B
7.33,7.42,7.42,7.5,7.42,7.5,10.0,10.0,10.0,8.1,82.08,B
7.5,7.58,7.42,7.42,7.25,7.42,10.0,10.0,10.0,8.2,82.0,B
7.17,7.5,7.42,7.42,7.58,7.5,10.0,10.0,10.0,9.8,82.0,B
7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,10.5,82.0,B
7.42,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,11.5,82.0,B
7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,12.5,82.0,B
7.5,7.5,7.33,7.5,7.33,7.33,10.0,10.0,10.0,11.6,81.92,B
7.33,7.42,7.33,7.42,7.58,7.42,10.0,10.0,10.0,10.3,81.92,B
7.25,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,11.3,81.83,B
7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,11.2,81.83,B
7.5,7.5,7.42,7.33,7.33,7.33,10.0,10.0,10.0,11.3,81.83,B
7.42,7.5,7.58,7.33,7.33,7.25,10.0,10.0,10.0,11.1,81.75,B
7.33,7.5,7.33,7.42,7.42,7.42,10.0,10.0,10.0,11.2,81.75,B
7.58,7.42,7.25,7.25,7.5,7.33,10.0,10.0,10.0,11.8,81.67,B
7.33,7.42,7.25,7.42,7.42,7.33,10.0,10.0,10.0,9.7,81.58,B
7.42,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,9.0,81.58,B
7.33,7.5,7.42,7.33,7.33,7.25,10.0,10.0,10.0,8.5,81.5,B
7.33,7.42,7.25,7.33,7.5,7.42,10.0,10.0,10.0,11.6,81.42,B
7.42,7.25,7.33,7.42,7.33,7.33,10.0,10.0,10.0,10.5,81.33,B
7.25,7.25,7.42,7.25,7.42,7.42,10.0,10.0,10.0,10.4,81.17,B
7.42,7.25,7.25,7.42,7.17,7.33,10.0,10.0,10.0,11.4,81.17,B
7.42,7.42,7.25,7.25,7.17,7.25,10.0,10.0,10.0,10.6,81.0,B
7.42,7.33,7.33,7.5,7.08,7.0,10.0,10.0,10.0,10.5,80.83,B
7.25,7.25,7.17,7.33,7.08,7.25,10.0,10.0,10.0,11.5,80.5,B
7.42,7.17,7.0,7.08,7.42,7.17,10.0,10.0,10.0,11.2,80.42,B
7.25,7.25,7.17,7.33,7.0,7.17,10.0,10.0,10.0,11.0,80.42,B
7.5,7.25,7.17,7.17,7.17,7.08,10.0,10.0,10.0,11.8,80.33,B
7.08,7.25,7.08,7.42,7.42,7.08,10.0,10.0,10.0,11.5,80.33,B
7.25,7.17,7.17,7.08,7.17,7.17,10.0,10.0,10.0,11.6,80.17,B
7.17,7.17,6.92,7.17,7.42,7.17,10.0,10.0,10.0,11.4,80.08,B
7.33,7.08,6.75,7.17,7.42,7.17,10.0,10.0,10.0,10.4,80.0,B
7.25,7.17,7.08,7.0,7.08,7.08,10.0,10.0,10.0,11.6,79.67,C
6.5,6.75,6.75,7.17,7.08,7.0,10.0,10.0,10.0,11.0,78.08,C
7.25,7.08,6.67,6.83,6.83,6.67,10.0,10.0,10.0,11.3,78.0,C
